Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
KC1,BalancedRF,21,8,8,0.4297824326246658,0.01667845134928721,0.7865232817947704,0.0332397455573354,0.29204487283760067,0.011845371797436523,0.8183760683760684,0.06902298141119312,0.33228083963707195,0.031451718780050215
KC1,LogReg,21,8,8,0.44084179495134174,0.04673267284948959,0.796180113270083,0.039468697732778085,0.33500143458493553,0.030784896204438802,0.6532905982905983,0.11442307492797688,0.32808736407724787,0.0661906814834749
KC1,ExtraTrees,21,8,8,0.43171102598229344,0.030986433157210298,0.7955348799402373,0.03409766566519244,0.3040278586453129,0.01813138573167109,0.7503846153846154,0.09891555314265509,0.3252032736788848,0.05252242708293049
KC1,LGBM,21,8,8,0.426827927159783,0.03080905294784069,0.783011464826984,0.032046951471418374,0.3027408462827835,0.021084158934068477,0.7299145299145301,0.08901710427514498,0.3157194303521201,0.04927431407518654
KC1,RF,21,8,8,0.4180322957220328,0.050387855277055194,0.7859440776779857,0.033590630265444184,0.3191848471486344,0.028160523398161868,0.6125641025641025,0.12067905428948046,0.29694806939136575,0.07031275899122137
KC2,LGBM,21,6,6,0.6431047059514964,0.07811582791916674,0.8576447758590615,0.06726824770193794,0.5624760132654869,0.09334087663670469,0.7606837606837608,0.0759794928713393,0.54453283505413,0.10373101483464223
KC2,XGB,21,6,6,0.6415477980917575,0.08881185936832307,0.8716619570905285,0.05964906727506634,0.565450198186771,0.10442675038819664,0.7547008547008548,0.09538055623504675,0.5433192273605864,0.11691516311654677
KC2,BalancedRF,21,6,6,0.6362296668348054,0.07224130239680981,0.8742940868655155,0.054289140390961055,0.5515709840555041,0.07973877689617978,0.7611111111111112,0.08573037289593649,0.5363660885240776,0.09584803333039706
KC2,RF,21,6,6,0.6315772354754121,0.07779911286669927,0.875644339787197,0.04878179694811671,0.5591740702226636,0.0964781499819913,0.7397435897435898,0.08036460853276242,0.5300079387536953,0.10188144767917642
KC2,ExtraTrees,21,6,6,0.6216831345772359,0.05798088961193141,0.8458965637537066,0.057796348819043,0.5912012062012063,0.07250150763263771,0.6675213675213675,0.08888067023149175,0.5220571633880798,0.07386004018310877
KC2,LogReg,21,6,6,0.5994523046974027,0.05357098696751752,0.866930402930403,0.05137264908986024,0.5027319555802529,0.059147474824903984,0.7499999999999999,0.07049339281703566,0.4875214135923726,0.07343042755088985
KC3,ExtraTrees,39,10,10,0.3921693121693122,0.17061113816463574,0.713391812865497,0.11912206537495655,0.5541269841269841,0.2968090140627878,0.3466666666666667,0.17269111795984823,0.32511873303098454,0.1869488737626931
KC3,BalancedRF,39,10,10,0.44584896584896583,0.12661416291351482,0.7430799220272903,0.09103935763971656,0.38827080327080327,0.15006484462244832,0.5833333333333334,0.1920648038785058,0.3015765130884925,0.18085054034279308
KC3,LogReg,39,10,10,0.39558441558441554,0.18378581965884866,0.6914424951267057,0.1305870984585002,0.3774969474969475,0.18685056566204303,0.4633333333333333,0.24184476196289406,0.25952994087258996,0.21479288785205877
KC3,XGB,39,10,10,0.4098331298331299,0.1559595259467941,0.7075536062378168,0.12305306580981386,0.3350625300625301,0.127669511872623,0.5666666666666667,0.2618311584887397,0.25317121200610093,0.2230279585625706
KC3,RF,39,10,10,0.39068117068117064,0.10427913997965647,0.7251461988304092,0.0998840566756996,0.3566931216931217,0.11159521021846139,0.4666666666666667,0.1398411797560202,0.23047484167973303,0.14113365023418817
KC3,LGBM,39,10,10,0.3399385799385799,0.15850510645333737,0.6972124756335283,0.11059792829771457,0.3257936507936508,0.1722838380013713,0.4066666666666666,0.21822516404443879,0.1870149666999762,0.18949915304215115
