Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,Baseline_F1,Baseline_MCC,Baseline_AUC_ROC,Delta_F1,Delta_MCC,Delta_AUC_ROC
KC1,21,8,8,XGB,0.6043362021446228,0.5476190476190477,0.44660194174757284,0.7076923076923077,0.8431157078215902,0.4605533344971244,0.4440677966101695,0.2493867209227186,0.6868651589996912,0.10355125100887819,0.21116661357440578,0.15625054882189893
KC1,21,8,8,LogReg,0.6158169971191342,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.8302090066795949,0.418056453350571,0.4274952919020716,0.2408671398865501,0.6719910980755378,0.08019701579023608,0.17718931346402092,0.15821790860405704
KC1,21,8,8,LGBM,0.47535169987254583,0.47533632286995514,0.33544303797468356,0.8153846153846154,0.8388278388278388,0.3887948332287081,0.3304597701149425,0.2413011691604569,0.686178861788618,0.14487655275501266,0.1474936640682512,0.15264897703922087
KC1,21,8,8,ExtraTrees,0.6900740434613466,0.39603960396039606,0.5555555555555556,0.3076923076923077,0.8411118293471235,0.3396989041903373,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.05908860116780906,0.03941831264260065,0.13943821609200358
KC2,21,6,6,LogReg,0.46404673846641087,0.5925925925925926,0.5,0.7272727272727273,0.82092004381161,0.4725665874589415,0.4274952919020716,0.2408671398865501,0.6719910980755378,0.16509730069052098,0.2316994475723914,0.14892894573607218
KC2,21,6,6,XGB,0.38813915848731995,0.5882352941176471,0.5172413793103449,0.6818181818181818,0.8381708652792991,0.4670715441999645,0.4440677966101695,0.2493867209227186,0.6868651589996912,0.1441674975074776,0.2176848232772459,0.15130570627960782
KC2,21,6,6,BalancedRF,0.3712035229476405,0.5818181818181818,0.48484848484848486,0.7272727272727273,0.8181818181818182,0.45800979924269086,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.24755634337807036,0.22625550075706147,0.129880387699159
KC2,21,6,6,LGBM,0.30710243538952076,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.8283132530120482,0.443912007844531,0.3304597701149425,0.2413011691604569,0.686178861788618,0.2409688013136289,0.2026108386840741,0.1421343912234302
KC2,21,6,6,RF,0.25939937826200377,0.5396825396825397,0.4146341463414634,0.7727272727272727,0.8346111719605696,0.4033930407873966,0.2684124386252046,0.236262410894647,0.6883554595039622,0.27127010105733507,0.16713062989274957,0.1462557124566074
KC2,21,6,6,ExtraTrees,0.21681454773020575,0.5245901639344263,0.41025641025641024,0.7272727272727273,0.8217415115005477,0.3791553249094258,0.4551282051282051,0.3002805915477367,0.7016736132551199,0.06946195880622114,0.0788747333616891,0.12006789824542785
KC3,39,10,10,ExtraTrees,0.5353326624399266,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6919642857142857,0.30357142857142855,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.026556776556776573,0.0032908370236918727,-0.0097093275408342
KC3,39,10,10,XGB,0.4888204038143158,0.4,0.3076923076923077,0.5714285714285714,0.6696428571428571,0.236227795630767,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.04406779661016946,-0.01315892529195159,-0.017222301856834155
KC3,39,10,10,RF,0.6359037842009763,0.3333333333333333,0.4,0.2857142857142857,0.6651785714285714,0.22035351657939922,0.2684124386252046,0.236262410894647,0.6883554595039622,0.06492089470812873,-0.01590889431524778,-0.023176888075390756
KC3,39,10,10,LGBM,0.3013040727334753,0.38095238095238093,0.2857142857142857,0.5714285714285714,0.6294642857142856,0.20714285714285716,0.3304597701149425,0.2413011691604569,0.686178861788618,0.050492610837438445,-0.03415831201759975,-0.05671457607433239
KC3,39,10,10,BalancedRF,0.6937000000000001,0.18181818181818182,0.25,0.14285714285714285,0.6785714285714286,0.06211616832473602,0.3342618384401114,0.2317542984856294,0.6883014304826592,-0.1524436566219296,-0.16963813016089338,-0.009730001911230635
KC3,39,10,10,LogReg,0.6261061860524695,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6830357142857142,-0.044642857142857144,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.28463814904492873,-0.2855099970294072,0.011044616210176383
MC1,38,19,15,LGBM,0.42245513976643495,0.2857142857142857,0.4,0.2222222222222222,0.7932019423021993,0.2863271986504372,0.3304597701149425,0.2413011691604569,0.686178861788618,-0.04474548440065679,0.0450260294899803,0.10702308051358134
MC1,38,19,15,XGB,0.6390981674194336,0.26666666666666666,0.3333333333333333,0.2222222222222222,0.8134818623250499,0.2585765824577413,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.17740112994350282,0.009189861535022686,0.12661670332535868
MC1,38,19,15,RF,0.36195612024512697,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7834904313053414,0.21088980781905495,0.2684124386252046,0.236262410894647,0.6883554595039622,-0.046190216402982376,-0.025372603075592054,0.0951349718013792
MC1,38,19,15,BalancedRF,0.6718,0.18181818181818182,0.125,0.3333333333333333,0.7420736932305056,0.17446221315311414,0.3342618384401114,0.2317542984856294,0.6883014304826592,-0.1524436566219296,-0.05729208533251526,0.05377226274784641
